trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,recent_high,recent_low,recent_range,prior_high,prior_low,prior_range,compression_ratio,atr_at_entry,atr_pct_at_entry,bar_range_at_entry,close_location_at_entry,ema_fast_at_entry,ema_slow_at_entry,entry_mode
1,fold_3_oos,short,2025-08-28 20:00:00+00:00,2025-08-29 14:00:00+00:00,111845.4093,108932.5769,take_profit,113110.6489,108878.1378,231.8635,2.2161,309.4719,-65.5948,18.2568,113485.9,112215.32,1270.58,113360.0,110862.42,2497.58,0.5087,604.6444,0.5403,674.49,0.0,112092.55,113064.94,immediate
2,fold_3_oos,long,2025-09-12 18:00:00+00:00,2025-09-15 01:00:00+00:00,115873.0676,114902.007,stop_loss,114959.4867,117954.3431,-95.8543,-1.1887,69.9568,-92.5094,20.3697,115514.77,114740.99,773.78,116331.81,113430.0,2901.81,0.2667,427.8366,0.3694,543.73,0.7715,114497.99,112676.62,immediate
3,fold_3_oos,long,2025-09-17 06:00:00+00:00,2025-09-17 12:00:00+00:00,117166.8642,116176.4299,stop_loss,116234.5472,119292.682,-95.5958,-1.1869,10.3547,-92.4724,20.1576,117077.16,116160.22,916.94,116908.83,114737.11,2171.72,0.4222,436.8764,0.3731,900.51,0.8826,115936.51,114714.34,immediate
4,fold_3_oos,short,2025-09-23 18:00:00+00:00,2025-09-24 10:00:00+00:00,111901.7811,112998.0056,stop_loss,112941.5348,109498.323,-108.1238,-1.163,76.8192,-94.6217,20.1096,113290.5,112486.37,804.13,113432.76,111478.0,1954.76,0.4114,491.8874,0.4394,935.62,0.0746,113331.66,114681.89,immediate
5,fold_3_oos,long,2025-09-30 19:00:00+00:00,2025-10-01 08:00:00+00:00,113771.4073,116083.972,take_profit,112743.5668,116142.043,191.0845,2.137,245.3622,-6.0373,19.9964,113677.23,112656.27,1020.96,114792.0,111901.26,2890.74,0.3532,485.4966,0.4269,537.19,1.0,112781.37,112140.3,immediate
6,fold_3_oos,short,2025-11-04 17:00:00+00:00,2025-11-05 18:00:00+00:00,102206.5712,104352.5861,stop_loss,104300.4358,97150.8604,-110.9782,-1.0747,160.8779,-109.6374,10.1866,104842.63,102915.05,1927.58,108333.0,104200.0,4133.0,0.4664,1021.3679,0.9988,1336.05,0.0701,106533.35,109265.99,immediate
7,fold_3_oos,short,2025-11-06 15:00:00+00:00,2025-11-06 16:00:00+00:00,102073.9275,100917.6336,end_of_data,103738.6641,98090.8398,65.1268,0.634,109.4097,-53.0093,12.5265,103626.46,102383.64,1242.82,104534.74,101176.47,3358.27,0.3701,806.832,0.79,1535.05,0.0524,103504.14,106841.82,immediate
