label,strategy,period_start,period_end,total_trades,win_rate,profit_factor,avg_r_multiple,expectancy,total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,sortino_ratio,exposure_pct,exit_stop_loss,exit_take_profit,exit_end_of_data
fold_1_oos,CompressionBreakout_v2_relative_squeeze,2025-03-01,2025-05-24,4,0.5,2.2721,0.5831,60.03,2.13,10213.05,3.95,2.3949,3.5835,0.022,2,2,
fold_2_oos,CompressionBreakout_v2_relative_squeeze,2025-05-24,2025-08-15,5,0.8,10.0254,1.4428,127.7,5.87,10586.84,1.35,5.8391,12.7137,0.0385,1,4,
fold_3_oos,CompressionBreakout_v2_relative_squeeze,2025-08-15,2025-11-06,7,0.4286,1.3686,0.0534,11.07,0.17,10016.68,3.76,-0.0048,-0.008,0.0705,4,2,1
fold_4_oos,CompressionBreakout_v2_relative_squeeze,2025-11-06,2026-01-29,7,0.4286,1.5269,0.3148,24.58,1.21,10120.91,3.97,1.1542,1.9002,0.053,4,3,
