timestamp,open,high,low,close,volume
2024-04-02 09:00:00,66240.02000000,66536.05000000,65746.20000000,66080.74000000,3504.04117000
2024-04-02 10:00:00,66080.74000000,66280.00000000,65454.55000000,65984.00000000,2544.54657000
2024-04-02 11:00:00,65984.01000000,66037.97000000,65075.00000000,65622.69000000,4910.76911000
2024-04-02 12:00:00,65622.69000000,65834.00000000,65130.01000000,65345.59000000,2504.25447000
2024-04-02 13:00:00,65345.58000000,65448.84000000,64588.58000000,65224.20000000,5329.13582000
2024-04-02 14:00:00,65224.20000000,66249.83000000,65170.00000000,65702.31000000,5243.12798000
2024-04-02 15:00:00,65702.31000000,66111.55000000,64666.81000000,64890.00000000,4588.52623000
2024-04-02 16:00:00,64889.99000000,65750.00000000,64550.00000000,65543.91000000,3533.76175000
2024-04-02 17:00:00,65543.91000000,65680.00000000,65275.42000000,65608.01000000,1846.64237000
2024-04-02 18:00:00,65608.02000000,66050.00000000,65386.96000000,65811.01000000,2924.99067000
2024-04-02 19:00:00,65811.01000000,66200.00000000,65779.23000000,65914.90000000,3176.02426000
2024-04-02 20:00:00,65914.91000000,66120.00000000,65500.98000000,65650.43000000,2576.66574000
2024-04-02 21:00:00,65650.42000000,65821.14000000,65200.00000000,65692.78000000,1942.47144000
2024-04-02 22:00:00,65692.77000000,65933.76000000,65564.24000000,65815.96000000,773.09406000
2024-04-02 23:00:00,65815.96000000,65830.00000000,65360.00000000,65463.99000000,768.57711000
2024-04-03 00:00:00,65463.99000000,65610.00000000,64493.07000000,65387.99000000,4115.32826000
2024-04-03 01:00:00,65388.00000000,65930.51000000,65090.00000000,65792.43000000,2368.51560000
2024-04-03 02:00:00,65792.42000000,66052.00000000,65683.74000000,65906.49000000,1601.22687000
2024-04-03 03:00:00,65906.49000000,66288.88000000,65764.00000000,66225.79000000,1266.05890000
2024-04-03 04:00:00,66225.79000000,66478.59000000,66120.00000000,66320.41000000,1350.05763000
2024-04-03 05:00:00,66320.41000000,66363.64000000,65920.00000000,66077.10000000,1214.21918000
2024-04-03 06:00:00,66077.11000000,66377.00000000,66052.00000000,66350.79000000,881.64606000
2024-04-03 07:00:00,66350.79000000,66483.87000000,66113.31000000,66135.99000000,1075.88661000
2024-04-03 08:00:00,66135.98000000,66642.36000000,65990.00000000,66518.04000000,1982.33146000
2024-04-03 09:00:00,66518.05000000,66637.43000000,66333.00000000,66484.58000000,1467.80154000
2024-04-03 10:00:00,66484.57000000,66519.79000000,66020.00000000,66197.62000000,1502.92494000
2024-04-03 11:00:00,66197.63000000,66224.00000000,65538.06000000,66059.76000000,1536.86632000
2024-04-03 12:00:00,66059.75000000,66220.00000000,65729.73000000,65899.99000000,1284.22549000
2024-04-03 13:00:00,65900.00000000,66020.83000000,65635.01000000,65804.01000000,1168.07952000
2024-04-03 14:00:00,65804.01000000,66903.63000000,65804.00000000,66627.93000000,2936.82332000
2024-04-03 15:00:00,66627.93000000,66648.00000000,65715.67000000,65836.01000000,1934.31631000
2024-04-03 16:00:00,65836.02000000,66550.00000000,65790.21000000,66194.50000000,1953.60463000
2024-04-03 17:00:00,66194.51000000,66376.00000000,65829.87000000,65952.01000000,1113.00368000
2024-04-03 18:00:00,65952.00000000,66119.68000000,65451.62000000,66003.07000000,1784.21710000
2024-04-03 19:00:00,66003.08000000,66150.00000000,65714.29000000,65784.00000000,1581.17411000
2024-04-03 20:00:00,65784.01000000,65840.00000000,65531.92000000,65712.01000000,2058.69155000
2024-04-03 21:00:00,65712.00000000,65935.48000000,65476.63000000,65918.71000000,1300.72700000
2024-04-03 22:00:00,65918.71000000,66243.05000000,65851.07000000,66140.00000000,1819.95061000
2024-04-03 23:00:00,66140.01000000,66297.40000000,65950.00000000,65963.28000000,589.54109000
2024-04-04 00:00:00,65963.27000000,66354.83000000,65824.00000000,66288.00000000,827.75629000
2024-04-04 01:00:00,66288.00000000,66296.00000000,66020.00000000,66143.99000000,538.36643000
2024-04-04 02:00:00,66143.99000000,66152.00000000,65454.55000000,65744.38000000,1570.04260000
2024-04-04 03:00:00,65744.38000000,65796.59000000,65542.03000000,65620.01000000,833.96919000
2024-04-04 04:00:00,65620.00000000,65699.43000000,65064.52000000,65480.41000000,1613.65293000
2024-04-04 05:00:00,65480.41000000,65710.58000000,65384.00000000,65591.57000000,725.26904000
2024-04-04 06:00:00,65591.57000000,65814.69000000,65548.67000000,65768.00000000,650.47753000
2024-04-04 07:00:00,65768.01000000,66290.32000000,65661.05000000,66091.60000000,1749.91757000
2024-04-04 08:00:00,66091.59000000,66435.02000000,66028.00000000,66220.01000000,1001.80238000
2024-04-04 09:00:00,66220.02000000,66406.55000000,66172.00000000,66273.37000000,707.28432000
2024-04-04 10:00:00,66273.38000000,66468.99000000,66141.27000000,66278.62000000,833.25500000
2024-04-04 11:00:00,66278.61000000,66431.34000000,66108.85000000,66353.67000000,886.30026000
2024-04-04 12:00:00,66353.68000000,66816.66000000,66330.56000000,66709.00000000,2110.78859000
2024-04-04 13:00:00,66709.00000000,67500.00000000,66690.00000000,67242.15000000,3459.83249000
2024-04-04 14:00:00,67242.14000000,67927.69000000,67075.70000000,67691.97000000,3384.05973000
2024-04-04 15:00:00,67691.98000000,67808.00000000,67428.57000000,67647.99000000,1840.61889000
2024-04-04 16:00:00,67648.00000000,68188.00000000,67526.50000000,67807.64000000,2087.67665000
2024-04-04 17:00:00,67807.65000000,68896.10000000,67721.41000000,68849.18000000,2272.37867000
2024-04-04 18:00:00,68849.18000000,69309.91000000,68510.63000000,68593.50000000,4368.68160000
2024-04-04 19:00:00,68593.50000000,69086.23000000,68334.24000000,68500.00000000,2553.96967000
2024-04-04 20:00:00,68500.00000000,68551.99000000,67320.00000000,67931.26000000,3868.35856000
2024-04-04 21:00:00,67931.26000000,68148.69000000,67495.00000000,67787.90000000,1401.80098000
2024-04-04 22:00:00,67787.91000000,68051.94000000,67604.93000000,67937.05000000,737.03732000
2024-04-04 23:00:00,67937.06000000,68565.54000000,67889.20000000,68487.79000000,1487.18784000
2024-04-05 00:00:00,68487.80000000,68756.67000000,68166.66000000,68606.00000000,1175.08722000
2024-04-05 01:00:00,68606.01000000,68615.58000000,67760.93000000,68160.00000000,1670.18970000
2024-04-05 02:00:00,68160.00000000,68161.82000000,67435.67000000,67600.00000000,1715.61727000
2024-04-05 03:00:00,67599.99000000,68033.33000000,67570.00000000,67863.99000000,1213.46103000
2024-04-05 04:00:00,67864.00000000,68028.00000000,67450.01000000,67647.99000000,1133.66513000
2024-04-05 05:00:00,67648.00000000,67750.99000000,66380.00000000,66888.04000000,2488.49304000
2024-04-05 06:00:00,66888.03000000,67179.56000000,66770.86000000,67140.56000000,1020.72921000
2024-04-05 07:00:00,67140.56000000,67144.55000000,66832.50000000,66930.74000000,1015.32190000
2024-04-05 08:00:00,66930.75000000,67684.26000000,66917.74000000,67151.21000000,1465.32326000
2024-04-05 09:00:00,67151.20000000,67151.21000000,66383.01000000,66805.98000000,1896.92624000
2024-04-05 10:00:00,66805.99000000,67213.84000000,66708.01000000,67034.65000000,1184.71947000
2024-04-05 11:00:00,67034.66000000,67087.98000000,66388.00000000,66478.00000000,1373.76533000
2024-04-05 12:00:00,66478.00000000,66888.00000000,65952.56000000,66883.99000000,3678.85999000
2024-04-05 13:00:00,66883.99000000,67589.61000000,66524.18000000,67500.00000000,2645.03909000
2024-04-05 14:00:00,67500.01000000,68566.66000000,67314.11000000,68139.39000000,3816.29678000
2024-04-05 15:00:00,68139.39000000,68268.14000000,67628.20000000,68190.62000000,1640.95515000
2024-04-05 16:00:00,68190.62000000,68380.00000000,67680.00000000,67953.80000000,1475.64352000
2024-04-05 17:00:00,67953.79000000,67986.83000000,67358.93000000,67442.49000000,1069.21575000
2024-04-05 18:00:00,67442.49000000,67729.54000000,67316.00000000,67629.02000000,1385.22601000
2024-04-05 19:00:00,67629.01000000,68096.00000000,67382.60000000,67412.40000000,2134.09921000
2024-04-05 20:00:00,67412.41000000,67758.04000000,67342.00000000,67643.48000000,913.59767000
2024-04-05 21:00:00,67643.48000000,67838.07000000,67515.44000000,67515.45000000,657.73746000
2024-04-05 22:00:00,67515.44000000,67843.55000000,67503.31000000,67628.53000000,582.37176000
2024-04-05 23:00:00,67628.53000000,67966.67000000,67628.52000000,67820.62000000,562.88954000
2024-04-06 00:00:00,67820.63000000,68065.20000000,67686.23000000,67900.57000000,864.08882000
2024-04-06 01:00:00,67900.56000000,67977.73000000,67643.47000000,67689.99000000,752.97272000
2024-04-06 02:00:00,67689.99000000,67765.77000000,67447.83000000,67574.59000000,1037.00772000
2024-04-06 03:00:00,67574.60000000,67882.50000000,67574.59000000,67788.01000000,522.70715000
2024-04-06 04:00:00,67788.00000000,67819.13000000,67602.00000000,67735.84000000,571.42809000
2024-04-06 05:00:00,67735.84000000,68232.14000000,67720.17000000,68038.74000000,1113.53981000
2024-04-06 06:00:00,68038.75000000,68162.90000000,67845.20000000,68109.42000000,581.55984000
2024-04-06 07:00:00,68109.43000000,68189.33000000,67940.54000000,67992.02000000,803.90434000
2024-04-06 08:00:00,67992.02000000,68106.88000000,67859.53000000,68012.14000000,775.39042000
2024-04-06 09:00:00,68012.15000000,68120.00000000,67747.86000000,67792.00000000,856.29225000
2024-04-06 10:00:00,67792.00000000,67886.37000000,67714.72000000,67842.17000000,503.36071000
2024-04-06 11:00:00,67842.18000000,67904.35000000,67615.22000000,67668.16000000,507.81819000
2024-04-06 12:00:00,67668.16000000,67796.69000000,67582.30000000,67738.37000000,768.19390000
2024-04-06 13:00:00,67738.36000000,67745.13000000,67527.78000000,67699.99000000,679.92389000
2024-04-06 14:00:00,67700.00000000,68109.13000000,67684.00000000,67993.99000000,890.76678000
2024-04-06 15:00:00,67994.00000000,68299.00000000,67896.48000000,68104.00000000,1229.38347000
2024-04-06 16:00:00,68104.01000000,68174.00000000,67948.83000000,68143.48000000,592.98858000
2024-04-06 17:00:00,68143.48000000,68484.09000000,68039.94000000,68287.30000000,819.79599000
2024-04-06 18:00:00,68287.30000000,68379.82000000,68163.62000000,68307.28000000,456.49398000
