trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
31,train,long,2024-11-12 05:00:00+00:00,88474.7753,88430.57,2024-11-12 10:00:00+00:00,86223.0972,stop_loss,86266.2303,92759.2494,0.04546611,4.0226,3.9202,7.9428,-102.375,-106.2953,-1.0586,66.6181,-147.5728,9840.4098,9730.0919,LONG resume above prev_high=88206.9 | pullbacks=2 ATR%=1.36%
32,train,long,2024-11-13 19:00:00+00:00,92870.412,92824.0,2024-11-13 19:00:00+00:00,90425.8645,stop_loss,90471.1001,97529.7999,0.04135362,3.8405,3.7394,7.58,-101.0909,-104.8303,-1.0565,0.9333,-119.9479,9730.0919,9621.4211,LONG resume above prev_high=92803.0 | pullbacks=2 ATR%=1.41%
33,train,long,2024-11-21 10:00:00+00:00,97662.0466,97613.24,2024-11-21 15:00:00+00:00,96138.1621,stop_loss,96186.2553,100467.2095,0.06742484,6.5848,6.4821,13.0669,-102.7477,-109.2298,-1.0977,48.7356,-139.0332,9621.4211,9505.6064,LONG resume above prev_high=97155.0 | pullbacks=3 ATR%=0.81%
34,train,long,2024-11-22 19:00:00+00:00,99158.4244,99108.87,2024-11-23 16:00:00+00:00,97698.283,stop_loss,97747.1566,101832.2968,0.06980622,6.9219,6.8199,13.7418,-101.927,-108.7469,-1.1039,29.9877,-113.4647,9505.6064,9389.9377,LONG resume above prev_high=99275.0 | pullbacks=1 ATR%=0.76%
35,train,long,2024-12-02 02:00:00+00:00,98013.9125,97964.93,2024-12-02 03:00:00+00:00,97085.5883,stop_loss,97134.1554,99626.4792,0.09584999,9.3946,9.3057,18.7003,-88.9799,-98.2855,-1.1656,3.459,-159.486,9389.9377,9282.2575,LONG resume above prev_high=97613.1 | pullbacks=2 ATR%=0.47%
36,train,long,2024-12-05 09:00:00+00:00,102815.392,102764.0,2024-12-05 16:00:00+00:00,100621.8254,stop_loss,100672.1614,106947.6771,0.04437368,4.5623,4.465,9.0273,-97.3366,-101.8016,-1.0704,32.5973,-99.7242,9282.2575,9175.8936,LONG resume above prev_high=102560.8 | pullbacks=2 ATR%=1.13%
37,train,long,2024-12-13 21:00:00+00:00,101730.85,101680.0,2024-12-15 23:00:00+00:00,104229.7046,take_profit,100379.0772,104281.8455,0.07053373,7.1755,7.3517,14.5272,176.2535,168.9018,1.7715,248.2188,-79.0993,9175.8936,9337.62,LONG resume above prev_high=101617.6 | pullbacks=2 ATR%=0.71%
38,train,short,2024-12-23 01:00:00+00:00,94343.6346,94390.84,2024-12-23 03:00:00+00:00,95978.949,stop_loss,95930.9835,91310.553,0.06062825,5.7199,5.819,11.5389,-99.1462,-104.9653,-1.0907,38.997,-103.0896,9337.62,9226.9348,SHORT resume below prev_low=95024.0 | pullbacks=2 ATR%=0.91%
39,train,short,2024-12-27 16:00:00+00:00,94526.4631,94573.75,2024-12-31 14:00:00+00:00,96174.8564,stop_loss,96126.793,91467.664,0.05941197,5.616,5.7139,11.3299,-97.9343,-103.6482,-1.0901,177.999,-102.3987,9226.9348,9117.6706,SHORT resume below prev_low=95161.2 | pullbacks=3 ATR%=0.91%
40,train,short,2025-01-13 17:00:00+00:00,91297.5384,91343.2,2025-01-13 20:00:00+00:00,93098.7926,stop_loss,93052.2664,87925.0672,0.05334884,4.8706,4.9667,9.8373,-96.0948,-101.0615,-1.0796,2.5361,-132.6029,9117.6706,9011.7385,SHORT resume below prev_low=91570.0 | pullbacks=3 ATR%=1.04%
41,train,long,2025-01-15 19:00:00+00:00,99495.8731,99446.14,2025-01-16 14:00:00+00:00,98063.008,stop_loss,98112.0641,102114.2918,0.06755042,6.721,6.6242,13.3452,-96.7906,-103.4148,-1.1063,92.5972,-135.5151,9011.7385,8901.6026,LONG resume above prev_high=99335.9 | pullbacks=2 ATR%=0.75%
42,train,long,2025-01-17 09:00:00+00:00,102187.068,102136.01,2025-01-17 16:00:00+00:00,104730.6862,take_profit,100812.4761,104783.0778,0.06725633,6.8727,7.0438,13.9165,171.0744,164.0306,1.7743,189.1875,-29.8536,8901.6026,9058.7605,LONG resume above prev_high=101899.5 | pullbacks=3 ATR%=0.72%
43,train,short,2025-02-02 03:00:00+00:00,100401.9339,100452.16,2025-02-02 12:00:00+00:00,98503.8949,take_profit,101450.9062,98454.6676,0.09017985,9.0542,8.8831,17.9373,171.1649,162.2818,1.7155,202.4478,-31.9233,9058.7605,9211.9881,SHORT resume below prev_low=101165.1 | pullbacks=2 ATR%=0.55%
44,train,short,2025-02-03 01:00:00+00:00,96463.0743,96511.33,2025-02-03 01:00:00+00:00,92529.7052,take_profit,98525.2633,92483.4635,0.04574128,4.4123,4.2324,8.6448,179.9173,175.6849,1.8625,204.1467,-22.0453,9211.9881,9383.2607,SHORT resume below prev_low=96543.1 | pullbacks=2 ATR%=1.16%
45,train,short,2025-02-12 04:00:00+00:00,95251.6304,95299.27,2025-02-12 08:00:00+00:00,96472.0428,stop_loss,96423.8309,93050.1482,0.08343933,7.9477,8.0496,15.9973,-101.8304,-109.88,-1.1234,0.0,-101.6416,9383.2607,9265.433,SHORT resume below prev_low=95384.6 | pullbacks=3 ATR%=0.66%
46,train,short,2025-02-17 19:00:00+00:00,95293.1596,95340.83,2025-02-17 20:00:00+00:00,96217.8056,stop_loss,96169.7208,93683.0484,0.09718221,9.2608,9.3507,18.6115,-89.8592,-99.2098,-1.1646,8.5675,-94.6837,9265.433,9156.9624,SHORT resume below prev_low=95288.0 | pullbacks=1 ATR%=0.48%
47,train,short,2025-02-18 17:00:00+00:00,94592.66,94639.98,2025-02-18 23:00:00+00:00,95685.7973,stop_loss,95637.9783,92643.9834,0.09175328,8.6792,8.7795,17.4587,-100.2989,-109.0784,-1.1373,110.5233,-100.2258,9156.9624,9039.2048,SHORT resume below prev_low=95200.0 | pullbacks=1 ATR%=0.59%
