trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,range_high,range_low,compression_range,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,train,short,2024-04-13 18:00:00+00:00,2024-04-13 19:00:00+00:00,66697.4946,65030.7983,take_profit,67597.1554,64998.2992,186.7656,1.7984,340.244,-63.0249,11.4046,67926.0,67090.83,835.17,577.5236,0.8655,68325.42,68659.12
2,train,short,2024-05-10 15:00:00+00:00,2024-05-12 16:00:00+00:00,61033.3381,61916.9399,stop_loss,61885.9969,59419.6161,-115.1735,-1.0908,104.7933,-105.839,11.4194,63469.13,62660.42,808.71,548.0846,0.8976,62499.58,62535.44
3,train,long,2024-12-07 19:00:00+00:00,2024-12-08 08:00:00+00:00,100173.3817,99159.8062,stop_loss,99209.4109,101951.1383,-109.3141,-1.1286,26.7068,-121.5157,15.0214,99821.83,99036.01,785.82,609.2728,0.6085,99407.17,97815.57
4,train,short,2024-12-29 15:00:00+00:00,2024-12-29 19:00:00+00:00,94576.3682,93577.9045,take_profit,95169.9355,93531.1389,97.546,1.5639,127.0287,-22.9523,14.8288,95315.5,94800.0,515.5,364.177,0.3849,95151.53,96490.22
5,train,short,2025-02-26 13:00:00+00:00,2025-02-26 18:00:00+00:00,87894.8406,85417.5869,take_profit,89220.7653,85374.8995,188.8713,1.82,350.3854,-49.7115,10.1734,89414.15,88138.0,1276.15,854.6368,0.9719,90304.81,94034.77
6,train,long,2025-04-26 23:00:00+00:00,2025-04-27 01:00:00+00:00,94829.2509,94199.1882,stop_loss,94246.3114,95852.9572,-75.5338,-1.202,58.1827,-84.9055,15.2824,94394.44,93870.69,523.75,357.0324,0.3767,94116.61,90857.05
