trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_29_oos,short,2026-02-01 15:15:00+00:00,2026-02-01 18:15:00+00:00,77579.8207,78453.6945,stop_loss,78414.4873,75628.9518,-119.6591,-1.141,102.7609,-108.4703,19.6055,short,2,5,397.9336,0.5127,78590.13,80791.89
2,fold_29_oos,short,2026-02-01 22:00:00+00:00,2026-02-01 22:00:00+00:00,76487.767,77537.3156,stop_loss,77498.5663,74094.6893,-114.3917,-1.115,3.145,-131.1155,15.6325,short,2,6,486.2681,0.6354,77765.24,79988.15
3,fold_29_oos,short,2026-02-03 16:30:00+00:00,2026-02-03 18:15:00+00:00,76655.1832,74184.7733,take_profit,77711.8622,74147.6995,229.3893,2.2677,273.3251,-23.8909,14.4398,short,2,6,509.1661,0.6639,78139.44,78454.74
4,fold_29_oos,short,2026-02-05 03:00:00+00:00,2026-02-05 15:00:00+00:00,71418.7128,68161.1505,take_profit,72785.3812,68127.0869,238.9278,2.3337,255.274,-41.9414,10.4564,short,2,6,665.4706,0.9313,73413.69,75527.9
5,fold_29_oos,short,2026-02-05 22:00:00+00:00,2026-02-06 01:45:00+00:00,63181.7333,65244.2866,stop_loss,65211.6808,58217.488,-108.6511,-1.0482,162.4679,-131.6533,6.5578,short,2,6,999.1704,1.5806,67259.25,71765.31
6,fold_29_oos,long,2026-02-08 14:00:00+00:00,2026-02-08 15:15:00+00:00,71550.5274,70802.1817,stop_loss,70837.6005,73207.6938,-115.5984,-1.149,0.6241,-107.865,20.0889,long,2,4,338.5848,0.4734,70198.25,69545.23
7,fold_29_oos,short,2026-02-11 05:45:00+00:00,2026-02-11 14:00:00+00:00,67406.6298,68060.3388,stop_loss,68026.3256,65975.411,-106.6648,-1.1647,153.271,-210.9904,20.0196,short,2,5,292.9878,0.4344,68582.72,69273.82
8,fold_29_oos,short,2026-02-12 18:00:00+00:00,2026-02-12 23:00:00+00:00,65381.293,66460.7946,stop_loss,66427.5808,62880.0131,-111.3623,-1.0953,25.5863,-106.5126,12.8121,short,2,6,506.7954,0.7748,67155.9,67721.23
9,fold_29_oos,short,2026-02-17 14:30:00+00:00,2026-02-17 14:45:00+00:00,67992.6667,66884.4347,take_profit,68496.9483,66851.0092,148.9791,2.065,180.0267,-36.8809,19.296,short,3,6,235.1342,0.3456,68200.57,68548.07
