trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_30_oos,long,2026-02-25 14:30:00+00:00,2026-02-25 16:15:00+00:00,66612.4896,67772.9612,take_profit,66088.4981,67806.8647,164.1195,2.0853,223.4203,-61.555,20.1842,long,2,6,245.4809,0.3687,65470.38,65064.51
2,fold_30_oos,long,2026-02-25 20:00:00+00:00,2026-02-25 22:30:00+00:00,69072.7791,68248.7926,stop_loss,68282.9341,70926.5748,-119.9464,-1.1296,123.148,-108.1181,18.4606,long,3,6,377.663,0.547,67206.21,65700.99
3,fold_30_oos,long,2026-03-02 16:45:00+00:00,2026-03-02 18:00:00+00:00,69895.9605,68706.2567,stop_loss,68740.627,72662.0375,-112.5971,-1.0892,17.8987,-104.5193,12.4015,long,2,4,560.2015,0.8019,66928.52,66445.31
4,fold_30_oos,long,2026-03-04 03:00:00+00:00,2026-03-04 03:30:00+00:00,68357.4917,67619.9264,stop_loss,67653.7533,69997.2719,-116.7418,-1.1442,3.7897,-138.8244,19.715,long,3,5,334.7884,0.49,68140.97,67694.72
5,fold_30_oos,long,2026-03-04 08:45:00+00:00,2026-03-04 09:30:00+00:00,69914.94,71720.9565,take_profit,69129.266,71756.8349,225.9167,2.2074,255.8077,-4.5514,18.4501,long,2,3,375.367,0.5372,68367.23,67839.35
6,fold_30_oos,long,2026-03-04 16:45:00+00:00,2026-03-05 06:00:00+00:00,73176.9002,72060.0082,stop_loss,72096.0563,75750.9794,-113.8121,-1.1,83.5773,-109.063,13.9028,long,2,5,522.1319,0.7139,70897.62,68901.25
7,fold_30_oos,short,2026-03-09 02:00:00+00:00,2026-03-09 03:00:00+00:00,66162.912,66979.0566,stop_loss,66945.5838,64322.0755,-116.3484,-1.1283,26.8647,-170.3598,17.541,short,3,6,374.7869,0.5662,66749.46,67582.7
8,fold_30_oos,long,2026-03-09 14:45:00+00:00,2026-03-09 16:30:00+00:00,69451.0782,68654.7867,stop_loss,68689.1313,71234.4667,-115.9659,-1.1352,0.0,-112.1666,18.5163,long,2,5,363.6193,0.5238,67878.35,67668.59
