trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_16_oos,long,2025-05-07 01:00:00+00:00,2025-05-07 02:30:00+00:00,97464.3578,96737.2207,stop_loss,96785.6135,98990.7412,-84.5731,-1.2138,27.4742,-76.39,19.9354,long,2,6,315.0182,0.3234,95339.05,94890.61
2,fold_16_oos,long,2025-05-08 16:45:00+00:00,2025-05-08 21:15:00+00:00,101212.571,103172.4867,take_profit,100337.1465,103224.0988,181.8057,2.121,287.2074,-42.4283,20.0127,long,2,5,412.4218,0.4077,99495.14,97661.54
3,fold_16_oos,long,2025-05-09 15:00:00+00:00,2025-05-12 07:00:00+00:00,103207.578,105352.9676,take_profit,102256.1178,105405.6705,199.2914,2.1441,255.154,-87.1823,20.3743,long,2,4,449.9361,0.4362,102919.36,100691.07
4,fold_16_oos,short,2025-05-12 19:45:00+00:00,2025-05-12 20:30:00+00:00,101506.1915,102603.3802,stop_loss,102552.1041,99069.0996,-121.2886,-1.1471,0.0,-116.6309,20.6337,short,2,6,497.5721,0.4899,103125.43,103592.42
5,fold_16_oos,short,2025-05-13 03:30:00+00:00,2025-05-13 04:15:00+00:00,101551.5088,102388.6075,stop_loss,102337.4388,99764.488,-93.7152,-1.1954,12.1506,-82.9015,20.3433,short,2,5,367.5644,0.3618,102588.09,103277.19
6,fold_16_oos,long,2025-05-22 01:00:00+00:00,2025-05-23 12:00:00+00:00,110009.5173,108733.3541,stop_loss,108787.748,112871.485,-119.0632,-1.1335,169.4076,-176.7879,18.8059,long,3,6,583.391,0.5306,108307.92,106784.77
