trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_24_oos,long,2025-10-20 18:30:00+00:00,2025-10-21 01:45:00+00:00,110715.5301,109778.498,stop_loss,109833.4147,112727.1982,-94.5968,-1.1867,50.2864,-104.8733,19.9253,long,3,6,413.3976,0.3736,110602.08,109136.69
2,fold_24_oos,short,2025-10-22 22:30:00+00:00,2025-10-23 01:00:00+00:00,107002.0122,108049.4423,stop_loss,107995.4446,104705.8136,-106.8037,-1.1631,0.5409,-133.2022,19.8777,short,3,5,469.9473,0.439,107907.12,108715.51
3,fold_24_oos,long,2025-10-28 16:30:00+00:00,2025-10-28 19:15:00+00:00,115134.0282,114220.6984,stop_loss,114277.8373,117073.0868,-87.3168,-1.2001,38.8663,-120.413,19.4896,long,2,6,399.3214,0.347,114654.88,114197.51
4,fold_24_oos,short,2025-10-29 19:45:00+00:00,2025-10-29 21:30:00+00:00,110330.0674,111719.2904,stop_loss,111663.4586,107189.7634,-113.6876,-1.1257,0.0,-111.3388,16.8189,short,3,6,639.0993,0.579,112050.97,113158.34
5,fold_24_oos,short,2025-10-30 18:45:00+00:00,2025-10-30 21:45:00+00:00,106935.2156,107930.564,stop_loss,107876.6256,104768.9559,-98.5792,-1.1719,56.3694,-90.6721,19.1985,short,3,6,443.9528,0.415,108709.63,110928.99
6,fold_24_oos,short,2025-11-04 06:45:00+00:00,2025-11-04 17:00:00+00:00,104488.7295,102130.1679,take_profit,105525.7487,102079.1283,204.0012,2.1759,292.8096,-46.01,18.6802,short,2,4,492.3743,0.471,106464.87,107947.6
