trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_27_oos,long,2025-12-22 16:00:00+00:00,2025-12-22 19:00:00+00:00,89771.7935,88896.8768,stop_loss,88941.3475,91690.8513,-107.4163,-1.1606,39.5875,-123.7971,19.9125,long,3,4,392.7863,0.4378,89524.39,88718.34
2,fold_27_oos,long,2026-01-02 15:45:00+00:00,2026-01-04 06:00:00+00:00,89802.7689,91644.7997,take_profit,88984.788,91690.6451,192.7221,2.1399,221.0014,-65.7146,19.9779,long,2,3,386.551,0.4307,89175.87,88574.82
3,fold_27_oos,long,2026-01-05 19:00:00+00:00,2026-01-06 00:00:00+00:00,94496.8348,93716.6795,stop_loss,93763.5613,96164.7669,-93.1278,-1.1917,31.1443,-82.1546,20.0577,long,3,4,343.0294,0.3632,93250.9,91947.22
4,fold_27_oos,short,2026-01-07 16:45:00+00:00,2026-01-08 01:45:00+00:00,91414.4999,91474.1142,end_of_data,92113.3852,89827.3419,-16.4572,-0.2162,80.4927,-30.8963,19.921,short,3,6,326.5776,0.3571,92105.84,92612.99
