trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_2_oos,long,2025-06-11 00:00:00+00:00,2025-06-11 12:00:00+00:00,110329.5272,109089.0978,stop_loss,109143.6696,112535.8308,-119.3503,-1.138,0.0,-116.8023,19.4052,long,2,5,628.178,0.5696,108440.64,106550.95
2,fold_2_oos,short,2025-06-21 22:00:00+00:00,2025-06-22 00:00:00+00:00,101404.8822,102425.153,stop_loss,102373.966,99618.898,-109.2301,-1.1585,55.1632,-194.0735,19.8312,short,1,3,510.1978,0.5029,103767.17,104959.3
3,fold_2_oos,short,2025-06-22 20:00:00+00:00,2025-06-22 22:00:00+00:00,98833.4086,100352.2495,stop_loss,100302.0984,96044.3231,-111.2556,-1.1025,43.5218,-147.4975,13.6861,short,1,6,788.4769,0.7974,102302.15,104273.18
4,fold_2_oos,long,2025-06-26 21:00:00+00:00,2025-06-26 21:00:00+00:00,107820.1831,106854.9009,stop_loss,106908.3551,109482.1598,-95.8435,-1.1758,0.0,-86.7294,19.1908,long,3,6,476.6305,0.4423,106851.14,105239.87
5,fold_2_oos,long,2025-07-10 21:00:00+00:00,2025-07-10 21:00:00+00:00,113549.9066,115399.7561,take_profit,112510.9976,115457.4848,145.615,1.6695,278.5691,-13.8144,19.2214,long,2,4,545.6458,0.4808,110691.95,109036.21
6,fold_2_oos,long,2025-07-11 10:00:00+00:00,2025-07-11 15:00:00+00:00,118529.5852,117024.9025,stop_loss,117083.4442,121244.1316,-113.006,-1.1214,0.0,-125.7732,16.4142,long,2,4,770.4977,0.6504,113267.01,110001.33
7,fold_2_oos,long,2025-07-14 03:00:00+00:00,2025-07-14 05:00:00+00:00,119707.7039,121450.6787,take_profit,118716.1028,121511.4344,129.3323,1.6353,235.9529,-9.1727,19.2347,long,1,3,517.654,0.4326,117893.38,113828.26
8,fold_2_oos,long,2025-07-22 18:00:00+00:00,2025-07-23 13:00:00+00:00,119258.9897,117723.7797,stop_loss,117782.671,122032.8279,-112.7399,-1.1196,67.4428,-131.5686,16.1636,long,2,3,787.0661,0.6603,118163.0,117730.62
9,fold_2_oos,short,2025-08-01 19:00:00+00:00,2025-08-04 14:00:00+00:00,113780.0015,115404.7403,stop_loss,115347.0668,110816.6564,-109.9532,-1.1104,117.5266,-106.532,14.4813,short,1,5,838.9649,0.737,116354.59,117492.04
10,fold_2_oos,long,2025-08-10 13:00:00+00:00,2025-08-11 02:00:00+00:00,118573.257,120112.0014,take_profit,117684.9563,120172.0875,112.8171,1.597,264.1337,-39.6248,18.9815,long,2,4,460.5799,0.3886,117138.65,116113.97
11,fold_2_oos,long,2025-08-13 20:00:00+00:00,2025-08-14 06:00:00+00:00,122805.5921,121376.8479,stop_loss,121437.5667,125357.4967,-113.0372,-1.1331,121.6628,-108.7793,17.8061,long,2,6,725.913,0.5914,120028.36,118168.41
