trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_1_oos,long,2024-07-01 19:00:00+00:00,2024-07-01 19:30:00+00:00,63681.815,63199.5493,stop_loss,63231.1648,64697.0529,-85.6976,-1.2104,0.0,-78.3496,19.9342,long,2,5,209.4126,0.329,63100.38,62347.45
2,fold_1_oos,short,2024-07-03 04:45:00+00:00,2024-07-03 10:30:00+00:00,60811.579,59912.2387,take_profit,61225.881,59882.2975,136.6481,2.0261,197.2295,-60.2737,19.6523,short,3,6,191.9405,0.3155,61791.14,62286.38
3,fold_1_oos,short,2024-07-03 21:00:00+00:00,2024-07-03 21:30:00+00:00,59579.4454,60051.342,stop_loss,60021.3314,58579.0816,-89.5162,-1.2038,30.1971,-95.503,20.1315,short,2,4,206.0357,0.3456,60357.72,61379.42
4,fold_1_oos,short,2024-07-04 03:15:00+00:00,2024-07-04 08:30:00+00:00,58912.539,57387.3031,take_profit,59575.3645,57358.6238,230.1704,2.2145,262.4745,-38.1453,18.2367,short,3,5,316.6772,0.5373,59982.07,61043.23
5,fold_1_oos,short,2024-07-05 01:30:00+00:00,2024-07-05 03:00:00+00:00,56979.506,55193.8339,take_profit,57744.6997,55166.2508,238.4767,2.2615,272.7951,-45.8898,15.4586,short,2,5,368.3498,0.6461,57882.56,59226.48
6,fold_1_oos,short,2024-07-07 22:30:00+00:00,2024-07-08 00:30:00+00:00,56504.5636,55422.1466,take_profit,56988.1823,55394.4493,188.6223,2.1236,243.073,-26.2688,20.5569,short,3,4,227.6761,0.4027,57073.38,57260.19
7,fold_1_oos,long,2024-07-09 09:45:00+00:00,2024-07-09 13:00:00+00:00,57702.877,57168.4846,stop_loss,57197.0831,58866.4323,-108.327,-1.1696,0.0,-104.2958,21.0353,long,2,4,238.4785,0.4135,57122.51,56832.66
8,fold_1_oos,short,2024-07-12 00:15:00+00:00,2024-07-12 13:15:00+00:00,57255.358,57729.701,stop_loss,57700.8506,56241.8736,-96.9926,-1.1943,129.9537,-99.1016,20.9608,short,2,5,208.4253,0.3638,57648.56,57778.8
9,fold_1_oos,long,2024-07-14 00:15:00+00:00,2024-07-14 21:15:00+00:00,59465.738,60600.7556,take_profit,58957.9996,60631.0711,186.8241,2.1161,265.5667,-32.2986,20.8777,long,3,5,239.0102,0.4021,58740.46,58186.96
10,fold_1_oos,long,2024-07-15 04:00:00+00:00,2024-07-15 09:45:00+00:00,62679.1939,62606.3212,end_of_data,62042.5778,64161.1005,-22.7316,-0.2128,94.7182,-41.3063,21.0212,long,2,6,302.6461,0.4831,61027.71,59712.03
