trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_31_oos,long,2026-03-17 01:15:00+00:00,2026-03-17 03:00:00+00:00,75878.8004,74990.1079,stop_loss,75027.6217,77874.0258,-118.4965,-1.1322,14.903,-116.2571,18.5512,long,2,4,406.6292,0.5362,74304.41,72977.57
2,fold_31_oos,short,2026-03-18 20:15:00+00:00,2026-03-18 21:00:00+00:00,70717.3636,71477.3399,stop_loss,71441.6191,69030.5073,-116.0132,-1.148,0.0,-102.3954,19.8405,short,2,5,344.4445,0.4868,72170.37,73231.46
3,fold_31_oos,short,2026-03-19 05:30:00+00:00,2026-03-19 07:15:00+00:00,70658.9928,69661.7174,take_profit,71121.3144,69626.904,127.8857,2.0064,162.7476,-44.2544,19.3453,short,2,5,213.4872,0.302,71320.65,72572.64
4,fold_31_oos,long,2026-03-25 16:30:00+00:00,2026-03-25 17:45:00+00:00,71541.9631,70790.649,stop_loss,70826.062,73208.05,-113.4105,-1.1483,12.9449,-113.3385,19.635,long,2,4,340.284,0.4759,71182.92,70611.73
5,fold_31_oos,short,2026-03-26 16:30:00+00:00,2026-03-26 20:00:00+00:00,68853.566,69434.3423,stop_loss,69399.6425,67608.9289,-91.9435,-1.1907,99.064,-88.3579,19.5547,short,2,5,255.8162,0.3714,69729.45,70351.08
6,fold_31_oos,long,2026-04-01 06:30:00+00:00,2026-04-01 08:15:00+00:00,68894.1999,68357.3441,stop_loss,68391.5399,70030.3452,-84.722,-1.204,58.2066,-70.6921,19.2134,long,2,4,234.115,0.34,68047.61,67506.17
