trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_5_oos,long,2024-09-19 13:15:00+00:00,2024-09-19 13:45:00+00:00,63251.61,62722.7074,stop_loss,62754.0844,64384.7889,-93.582,-1.1891,18.8058,-88.8342,19.9263,long,2,4,232.9578,0.3685,62119.31,60731.88
2,fold_5_oos,long,2024-09-24 23:00:00+00:00,2024-09-25 00:15:00+00:00,64612.2,64075.5188,stop_loss,64107.5726,65760.7185,-92.0617,-1.1905,2.1148,-82.9105,19.7205,long,2,3,236.1637,0.3657,63798.27,63452.96
3,fold_5_oos,long,2024-09-26 15:30:00+00:00,2024-09-27 14:30:00+00:00,65031.5095,66389.44,take_profit,64429.5535,66422.6513,194.6173,2.1456,220.9798,-59.9715,19.8033,long,2,5,284.7283,0.4381,64121.87,63745.7
4,fold_5_oos,short,2024-10-01 15:15:00+00:00,2024-10-01 15:30:00+00:00,62134.927,62827.0195,stop_loss,62795.6217,60592.0158,-119.6557,-1.1426,11.876,-108.8639,19.8066,short,2,6,314.8008,0.5064,63497.7,64118.35
