trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_18_oos,short,2025-06-17 18:00:00+00:00,2025-06-17 19:00:00+00:00,103762.093,104597.6684,stop_loss,104545.3957,101985.5457,-90.5632,-1.2003,13.1045,-107.5642,20.0705,short,2,4,365.6929,0.3523,105398.44,106199.3
2,fold_18_oos,short,2025-06-21 22:45:00+00:00,2025-06-22 00:00:00+00:00,101631.7187,102409.8266,stop_loss,102358.6473,99992.3419,-85.724,-1.2113,77.2833,-93.1692,19.8647,short,2,4,338.0436,0.3324,102908.77,103760.64
3,fold_18_oos,short,2025-06-22 21:30:00+00:00,2025-06-22 22:00:00+00:00,99086.3221,100143.5542,stop_loss,100093.5075,96741.8463,-114.4561,-1.1491,8.0699,-143.2292,19.7024,short,3,5,478.8087,0.483,100199.24,102136.64
4,fold_18_oos,long,2025-06-24 17:45:00+00:00,2025-06-24 19:00:00+00:00,106122.1746,105323.9089,stop_loss,105376.5972,107800.532,-82.459,-1.2119,2.886,-74.1834,19.296,long,2,3,346.2764,0.3265,105260.49,103776.23
