trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_25_oos,long,2025-11-10 00:15:00+00:00,2025-11-11 01:15:00+00:00,105080.7741,106964.3415,take_profit,104232.4238,107017.8504,169.1548,2.0942,230.3405,-39.3965,20.1893,long,2,5,397.9181,0.3789,103895.86,102718.15
2,fold_25_oos,short,2025-11-18 02:15:00+00:00,2025-11-18 14:30:00+00:00,91136.2791,92169.2405,stop_loss,92123.1789,88828.5626,-121.4293,-1.1401,203.168,-141.8077,19.7832,short,2,6,470.6595,0.5162,92650.43,94378.93
3,fold_25_oos,short,2025-11-19 17:15:00+00:00,2025-11-19 21:15:00+00:00,89315.33,90440.4601,stop_loss,90395.2624,86771.8789,-117.7452,-1.1256,68.5149,-148.6545,17.4119,short,3,5,517.6262,0.5793,91213.42,92207.49
