trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_23_oos,short,2025-10-07 17:15:00+00:00,2025-10-08 08:30:00+00:00,121416.8612,122596.7614,stop_loss,122535.4937,118832.9008,-107.2212,-1.1644,69.3067,-115.6089,20.0871,short,2,6,528.9418,0.4354,123375.75,123774.45
2,fold_23_oos,short,2025-10-10 21:00:00+00:00,2025-10-10 21:00:00+00:00,114209.6866,110406.4496,take_profit,115833.0384,110351.274,233.0163,2.2748,273.2017,-56.9792,14.1732,short,3,6,783.1092,0.6853,118986.48,120943.93
3,fold_23_oos,short,2025-10-12 04:00:00+00:00,2025-10-12 04:45:00+00:00,110620.662,111733.1648,stop_loss,111677.3261,108172.6847,-111.8156,-1.1586,0.3253,-122.0672,20.3087,short,2,5,500.6631,0.4524,110910.17,114175.25
4,fold_23_oos,short,2025-10-14 06:30:00+00:00,2025-10-14 10:15:00+00:00,112226.1888,110561.1306,take_profit,112992.8969,110505.8776,138.2609,2.0275,167.0411,-18.6264,19.8153,short,2,4,355.2885,0.3164,114088.46,114312.01
5,fold_23_oos,short,2025-10-15 13:15:00+00:00,2025-10-15 14:00:00+00:00,111413.6353,112214.8349,stop_loss,112158.7555,109745.9062,-82.8851,-1.2259,62.4518,-74.8417,20.2925,short,2,3,344.6928,0.3092,112351.52,112921.48
6,fold_23_oos,short,2025-10-15 16:45:00+00:00,2025-10-16 03:15:00+00:00,110638.693,111743.0041,stop_loss,111687.1605,108211.2387,-110.0985,-1.1598,42.9775,-111.2232,20.1339,short,3,4,496.5603,0.4486,111832.12,112693.39
