trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_4_oos,short,2025-11-16 19:00:00+00:00,2025-11-17 00:00:00+00:00,94002.6052,95371.2214,stop_loss,95323.5596,91501.8007,-114.9199,-1.1083,78.2667,-107.7772,14.8654,short,1,3,707.7331,0.7525,96117.67,100032.42
2,fold_4_oos,short,2025-11-20 21:00:00+00:00,2025-11-21 07:00:00+00:00,86419.7385,82819.346,take_profit,88305.4765,82777.9571,188.5776,1.8654,236.9428,-98.1206,9.0729,short,1,4,1023.6147,1.1839,90893.22,94835.39
3,fold_4_oos,long,2025-11-28 11:00:00+00:00,2025-11-28 16:00:00+00:00,91896.4152,90948.1626,stop_loss,90993.6594,93564.1511,-113.8379,-1.1511,130.9688,-111.3419,20.0295,long,1,2,476.017,0.5183,90498.35,89518.6
4,fold_4_oos,short,2025-12-14 20:00:00+00:00,2025-12-15 02:00:00+00:00,88600.5576,89399.7821,stop_loss,89355.1045,87224.4309,-99.6213,-1.1777,114.7079,-162.7891,19.9551,short,1,5,394.5692,0.4451,90037.94,90664.9
5,fold_4_oos,short,2025-12-15 21:00:00+00:00,2025-12-16 10:00:00+00:00,85744.1465,87069.0137,stop_loss,87025.501,83310.1181,-112.0485,-1.1019,37.9448,-125.6677,13.7141,short,1,5,688.0339,0.802,88896.91,90171.34
6,fold_4_oos,long,2026-01-05 07:00:00+00:00,2026-01-05 15:00:00+00:00,92538.0659,93895.1189,take_profit,91766.67,93942.09,132.6001,1.6375,153.4666,-22.8736,19.5708,long,3,6,402.8555,0.4356,91181.92,89498.22
7,fold_4_oos,long,2026-01-13 19:00:00+00:00,2026-01-13 22:00:00+00:00,93680.5269,95636.6203,take_profit,92608.3337,95684.4625,178.3972,1.7352,269.8767,-19.701,18.1534,long,2,3,569.6535,0.6084,91778.28,91181.43
8,fold_4_oos,long,2026-01-14 20:00:00+00:00,2026-01-15 03:00:00+00:00,97316.0537,95940.2252,stop_loss,95988.2193,99825.8215,-115.0726,-1.1084,47.5716,-120.3334,15.11,long,2,5,710.6671,0.7306,94254.36,92146.91
9,fold_4_oos,short,2026-01-20 14:00:00+00:00,2026-01-20 17:00:00+00:00,90913.4106,89540.9944,take_profit,91690.1969,89496.2462,139.3318,1.6515,160.9923,-49.7103,19.599,short,3,8,406.2872,0.4467,92843.32,93659.19
