trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_13_oos,long,2025-03-05 10:30:00+00:00,2025-03-05 14:30:00+00:00,89656.826,88734.6093,stop_loss,88778.9988,91694.5729,-112.8142,-1.1517,142.5025,-145.066,19.9071,long,3,5,416.5106,0.4648,87418.4,86805.41
2,fold_13_oos,long,2025-03-14 15:15:00+00:00,2025-03-16 11:00:00+00:00,84300.3691,83393.9472,stop_loss,83435.665,86314.6774,-116.0313,-1.1447,118.3201,-139.8928,19.658,long,2,5,411.2875,0.4881,82737.94,82313.2
3,fold_13_oos,long,2025-03-20 00:15:00+00:00,2025-03-20 00:30:00+00:00,87314.7255,86426.9853,stop_loss,86470.2204,89273.229,-108.8489,-1.1535,0.0,-114.9227,19.4131,long,2,6,400.4298,0.4588,85157.62,83820.98
