trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_10_oos,short,2025-01-13 11:45:00+00:00,2025-01-13 14:45:00+00:00,90954.49,91850.5674,stop_loss,91804.6651,88988.3373,-108.5635,-1.162,186.5714,-147.8582,20.0885,short,2,5,402.3325,0.4421,93403.86,94173.89
2,fold_10_oos,long,2025-01-15 15:00:00+00:00,2025-01-15 17:45:00+00:00,99484.5174,98556.0029,stop_loss,98605.3056,101507.171,-102.0666,-1.1682,31.3496,-87.6965,19.6806,long,2,4,414.5522,0.4169,97360.97,96091.32
3,fold_10_oos,long,2025-01-17 16:15:00+00:00,2025-01-18 03:30:00+00:00,104502.8553,103512.1224,stop_loss,103563.9043,106667.4442,-102.3471,-1.1654,127.4249,-140.5419,19.4561,long,2,5,443.3628,0.4245,102323.04,100278.61
