trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_7_oos,short,2025-10-29 18:45:00+00:00,2025-10-29 18:45:00+00:00,109701.6317,110475.3084,stop_loss,110420.0984,108097.5391,-80.5558,-1.2306,2.1968,-143.5631,20.0605,short,1,2,552.9903,0.5038,112259.34,113599.94
2,fold_7_oos,short,2025-10-30 13:45:00+00:00,2025-10-30 13:45:00+00:00,107419.2735,108084.1535,stop_loss,108030.1384,106080.1539,-71.2705,-1.2654,0.0,-69.575,19.8703,short,1,5,464.282,0.432,109974.57,111800.27
3,fold_7_oos,short,2025-10-30 18:45:00+00:00,2025-10-30 20:45:00+00:00,106935.2156,107575.2241,stop_loss,107521.4634,105656.8615,-68.6751,-1.2752,57.9539,-65.8458,19.7055,short,3,6,443.9528,0.415,108709.64,111062.13
4,fold_7_oos,short,2025-10-31 02:45:00+00:00,2025-10-31 04:00:00+00:00,108736.1947,109390.534,stop_loss,109335.866,107427.4349,-68.4452,-1.2736,15.3191,-72.7537,19.5484,short,1,2,454.3884,0.4177,108458.35,110257.03
5,fold_7_oos,short,2025-10-31 13:45:00+00:00,2025-10-31 13:45:00+00:00,109560.0926,110132.5708,stop_loss,110077.532,108458.285,-60.2284,-1.3192,0.0,-58.3011,19.384,short,1,6,385.535,0.3517,109565.08,110073.88
6,fold_7_oos,short,2025-10-31 16:45:00+00:00,2025-11-01 03:30:00+00:00,109661.222,110332.8977,stop_loss,110277.7588,108311.883,-68.4367,-1.2684,89.8088,-54.886,19.2526,short,1,6,468.0657,0.4266,109812.8,110090.29
7,fold_7_oos,short,2025-11-03 04:00:00+00:00,2025-11-03 10:45:00+00:00,107883.4813,106866.2737,take_profit,108387.2831,106812.8673,80.3222,1.8069,102.0726,-16.8983,18.948,short,1,3,374.8609,0.3473,109729.05,110077.47
8,fold_7_oos,short,2025-11-04 06:45:00+00:00,2025-11-04 14:30:00+00:00,104488.7295,103115.4089,take_profit,105131.8492,103063.877,116.5756,1.9751,144.4276,-46.7063,19.0533,short,2,5,492.3743,0.471,106464.87,107949.37
9,fold_7_oos,short,2025-11-06 02:15:00+00:00,2025-11-06 02:30:00+00:00,102892.8279,103435.8224,stop_loss,103384.1304,101844.7241,-60.9194,-1.3157,3.5027,-52.3089,19.4444,short,2,4,366.5253,0.356,103383.38,103702.11
10,fold_7_oos,short,2025-11-06 15:45:00+00:00,2025-11-06 16:00:00+00:00,101755.6967,102441.1471,stop_loss,102389.9521,100348.2197,-74.534,-1.2422,11.8908,-60.3367,19.3169,short,2,6,486.1268,0.4775,102996.74,103448.21
11,fold_7_oos,short,2025-11-07 01:45:00+00:00,2025-11-07 02:15:00+00:00,101035.517,101712.2549,stop_loss,101661.4241,99647.6846,-73.5176,-1.2437,6.7371,-62.7459,19.1477,short,3,5,479.4618,0.4743,101630.56,102740.44
12,fold_7_oos,short,2025-11-07 12:30:00+00:00,2025-11-07 13:15:00+00:00,99882.034,100428.5194,stop_loss,100378.3302,98816.2095,-61.2631,-1.3035,58.8255,-63.7501,18.9695,short,2,5,371.9335,0.3722,101286.75,102285.61
13,fold_7_oos,long,2025-11-09 19:30:00+00:00,2025-11-09 22:00:00+00:00,104788.8883,104249.0429,stop_loss,104301.1935,105824.8363,-57.7631,-1.3207,24.4105,-65.494,18.7468,long,1,2,362.7721,0.3464,103057.82,102445.71
14,fold_7_oos,long,2025-11-11 02:30:00+00:00,2025-11-11 04:30:00+00:00,106422.1545,105777.1881,stop_loss,105830.1031,107714.0372,-65.8206,-1.268,62.0596,-52.2786,18.6043,long,2,6,448.5557,0.4217,105918.24,104848.24
15,fold_7_oos,short,2025-11-11 19:15:00+00:00,2025-11-12 06:00:00+00:00,103055.6864,103630.1763,stop_loss,103578.3871,101929.3722,-60.8396,-1.2973,52.0002,-50.3635,18.5434,short,3,6,392.6226,0.3808,104257.02,104736.15
16,fold_7_oos,short,2025-11-12 17:00:00+00:00,2025-11-12 17:30:00+00:00,101391.8987,102082.496,stop_loss,102031.4803,99970.4342,-71.737,-1.2394,0.0,-70.1616,18.4143,short,1,6,490.7253,0.4837,103736.5,104106.0
17,fold_7_oos,short,2025-11-13 10:00:00+00:00,2025-11-13 14:45:00+00:00,102775.5865,103405.0827,stop_loss,103353.406,101510.9851,-64.8574,-1.2684,95.191,-62.6753,18.2458,short,2,3,438.6716,0.4266,102772.33,103236.1
18,fold_7_oos,short,2025-11-14 01:00:00+00:00,2025-11-14 02:15:00+00:00,98924.463,99707.9975,stop_loss,99658.1684,97263.4039,-80.5446,-1.2038,20.4692,-85.5834,18.1137,short,1,4,570.182,0.5761,100153.2,101991.75
19,fold_7_oos,short,2025-11-14 05:30:00+00:00,2025-11-14 12:30:00+00:00,97218.7463,95556.3674,take_profit,97971.7548,95508.6131,143.9448,2.0808,244.2163,-48.1497,17.7103,short,1,3,586.4623,0.6029,99436.28,101474.47
20,fold_7_oos,short,2025-11-15 00:45:00+00:00,2025-11-15 01:45:00+00:00,94902.515,95696.9789,stop_loss,95649.1543,93202.1142,-85.0418,-1.1922,19.1668,-85.7415,18.209,short,3,6,582.6286,0.6136,95653.3,98477.37
21,fold_7_oos,short,2025-11-16 20:00:00+00:00,2025-11-16 20:15:00+00:00,93973.4798,94632.1337,stop_loss,94584.8413,92607.8967,-71.9232,-1.2321,2.1082,-73.162,18.0079,short,1,6,470.7011,0.5006,95060.33,96072.42
