trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_13_oos,long,2026-03-04 03:00:00+00:00,2026-03-04 03:30:00+00:00,68357.4917,67887.6232,stop_loss,67921.5839,69327.6951,-78.7075,-1.2336,3.8257,-140.1412,19.9412,long,3,5,334.7884,0.49,68140.99,67611.2
2,fold_13_oos,long,2026-03-04 06:45:00+00:00,2026-03-04 08:00:00+00:00,68699.6527,69633.6457,take_profit,68264.042,69668.48,124.7634,1.9842,146.9325,-50.5432,19.9673,long,2,4,334.39,0.487,68077.36,67662.08
3,fold_13_oos,long,2026-03-04 16:00:00+00:00,2026-03-04 16:00:00+00:00,73433.5684,72740.7605,stop_loss,72777.149,74946.2074,-104.5752,-1.1662,9.0747,-93.5432,19.9677,long,1,2,516.4425,0.7036,70631.25,68727.27
4,fold_13_oos,long,2026-03-05 02:15:00+00:00,2026-03-05 02:30:00+00:00,72841.1324,72343.0227,stop_loss,72379.2123,73868.4892,-77.6606,-1.235,10.2604,-68.6645,19.7652,long,3,4,354.5897,0.487,72554.48,70196.15
5,fold_13_oos,short,2026-03-06 12:45:00+00:00,2026-03-06 12:45:00+00:00,69718.9031,70085.4139,stop_loss,70050.3887,69014.2532,-61.4886,-1.3171,8.2957,-48.3459,19.6895,short,1,2,246.6989,0.3537,70700.02,70969.51
6,fold_13_oos,short,2026-03-08 12:15:00+00:00,2026-03-08 12:15:00+00:00,67019.6334,67374.6983,stop_loss,67341.0278,66333.4904,-61.4423,-1.3144,19.1456,-61.8026,19.5472,short,1,2,239.8899,0.3578,67451.02,68142.11
7,fold_13_oos,short,2026-03-08 22:15:00+00:00,2026-03-08 23:15:00+00:00,66044.951,66497.4702,stop_loss,66464.238,65112.4049,-76.044,-1.2379,62.4832,-76.8165,19.4195,short,2,4,321.865,0.4871,67127.21,67793.37
8,fold_13_oos,short,2026-03-09 11:30:00+00:00,2026-03-09 11:45:00+00:00,67445.1406,67867.1846,stop_loss,67833.2679,66592.9101,-69.6671,-1.2622,0.0,-58.4001,19.2419,short,1,6,295.3233,0.4377,67392.65,67548.61
9,fold_13_oos,long,2026-03-09 14:45:00+00:00,2026-03-09 15:00:00+00:00,69451.0782,68945.5368,stop_loss,68980.0268,70507.228,-78.7579,-1.2196,0.0,-64.9337,18.9732,long,2,5,363.6193,0.5238,67878.35,67668.16
10,fold_13_oos,long,2026-03-10 02:00:00+00:00,2026-03-10 02:30:00+00:00,69294.63,70069.5611,take_profit,68922.1686,70104.6134,95.9511,1.8924,155.8034,-26.0698,18.9713,long,3,6,281.5345,0.4065,68694.93,68093.73
11,fold_13_oos,long,2026-03-10 08:00:00+00:00,2026-03-10 09:30:00+00:00,70441.213,71254.473,take_profit,70052.3668,71290.1181,100.2751,1.9082,116.057,-9.7589,19.1488,long,1,3,294.7027,0.4186,69514.55,68498.52
12,fold_13_oos,long,2026-03-10 14:45:00+00:00,2026-03-10 15:00:00+00:00,70492.5387,71610.9939,take_profit,69981.5071,71646.8173,142.7166,2.0485,175.1111,-13.7065,19.373,long,1,3,396.5024,0.5628,70166.32,68989.56
13,fold_13_oos,long,2026-03-11 14:45:00+00:00,2026-03-11 15:00:00+00:00,70878.1414,70296.404,stop_loss,70331.5698,72120.5605,-89.6335,-1.193,14.9645,-121.4404,19.4069,long,1,6,425.9502,0.6013,69835.74,69572.13
14,fold_13_oos,long,2026-03-12 10:30:00+00:00,2026-03-12 13:45:00+00:00,70184.2146,69810.9118,stop_loss,69845.8348,70907.4381,-60.8883,-1.3095,84.6151,-74.0935,19.2367,long,1,3,252.7627,0.3603,69844.92,69813.94
15,fold_13_oos,long,2026-03-13 01:15:00+00:00,2026-03-13 02:30:00+00:00,71628.1562,71193.6048,stop_loss,71229.2194,72500.2114,-67.5953,-1.2677,17.6149,-63.1434,19.0888,long,1,4,302.6171,0.4227,70439.78,70066.52
16,fold_13_oos,long,2026-03-13 09:45:00+00:00,2026-03-13 12:30:00+00:00,71911.3377,72540.1899,take_profit,71594.9687,72576.4781,73.4637,1.7584,95.1049,-7.9943,19.0755,long,2,4,233.6927,0.3251,71244.41,70474.43
17,fold_13_oos,long,2026-03-16 00:00:00+00:00,2026-03-16 01:00:00+00:00,72851.6576,72403.9076,stop_loss,72440.1277,73753.0208,-68.2592,-1.264,20.64,-76.2765,19.0617,long,1,5,312.5936,0.4293,71851.08,71364.96
18,fold_13_oos,long,2026-03-16 05:00:00+00:00,2026-03-16 08:15:00+00:00,73872.5378,73339.1949,stop_loss,73375.8828,74984.963,-77.8746,-1.2215,49.4875,-66.8106,18.8963,long,2,5,383.1143,0.5189,72488.86,71649.29
19,fold_13_oos,long,2026-03-16 15:15:00+00:00,2026-03-16 15:45:00+00:00,73714.5088,73171.8848,stop_loss,73208.489,74850.6225,-78.4838,-1.2169,40.2096,-67.2952,18.7208,long,2,6,390.9842,0.5307,73428.96,72318.36
20,fold_13_oos,long,2026-03-16 22:15:00+00:00,2026-03-16 23:00:00+00:00,74912.0373,74446.2299,stop_loss,74483.4716,75852.421,-67.121,-1.2606,0.0,-82.2253,18.5563,long,1,2,325.9403,0.4353,73869.33,72732.17
21,fold_13_oos,long,2026-03-17 14:30:00+00:00,2026-03-17 15:00:00+00:00,73929.1161,74729.7529,take_profit,73542.1974,74767.1364,90.6348,1.8761,120.4654,-4.613,18.5612,long,1,3,291.6521,0.3947,74085.43,73494.52
22,fold_13_oos,short,2026-03-18 19:45:00+00:00,2026-03-19 03:15:00+00:00,71030.2471,71504.0712,stop_loss,71468.3371,70059.3874,-71.4209,-1.2448,69.4457,-76.4258,18.6675,short,1,3,335.4642,0.472,72275.41,73279.89
23,fold_13_oos,short,2026-03-19 08:30:00+00:00,2026-03-19 09:15:00+00:00,70031.3368,70417.9283,stop_loss,70382.737,69275.4176,-60.1811,-1.3005,17.295,-56.4484,18.495,short,2,5,263.6475,0.3763,70954.82,72326.96
24,fold_13_oos,short,2026-03-19 14:15:00+00:00,2026-03-19 15:00:00+00:00,69472.6463,69949.6772,stop_loss,69914.7199,68489.1003,-72.062,-1.2373,49.6002,-58.656,18.3682,short,3,5,339.4332,0.4883,70300.62,71833.19
