trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_1_oos,long,2025-07-10 23:00:00+00:00,2025-07-11 00:15:00+00:00,116066.3842,115338.7635,stop_loss,115396.4617,117538.1757,-72.6637,-1.2583,2.8968,-72.7675,19.9473,long,2,6,509.9319,0.4396,113227.27,111051.12
2,fold_1_oos,long,2025-07-11 07:30:00+00:00,2025-07-11 13:30:00+00:00,117935.8485,117380.2548,stop_loss,117438.9743,118971.7143,-56.6193,-1.3544,78.5912,-55.7295,19.7978,long,3,5,364.9381,0.3096,115990.19,112685.04
3,fold_1_oos,long,2025-07-14 04:30:00+00:00,2025-07-14 05:15:00+00:00,121017.9387,122107.7794,take_profit,120472.8985,122168.8638,78.8123,1.7755,134.2183,-13.5181,19.8002,long,1,3,403.8013,0.3338,119254.64,118040.16
4,fold_1_oos,long,2025-07-14 17:00:00+00:00,2025-07-14 18:45:00+00:00,120329.0144,119639.253,stop_loss,119699.1026,121693.2885,-66.7592,-1.2849,16.2498,-57.4896,19.7925,long,1,2,474.8062,0.3948,121004.93,119428.69
