trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_2_oos,long,2025-07-22 20:15:00+00:00,2025-07-23 02:00:00+00:00,119715.738,119094.392,stop_loss,119153.969,120910.7625,-61.8808,-1.3181,44.466,-49.7993,19.9581,long,3,5,418.2842,0.3496,118861.67,118283.16
2,fold_2_oos,short,2025-07-25 06:15:00+00:00,2025-07-25 07:15:00+00:00,115335.7533,115898.8327,stop_loss,115840.9123,114274.7594,-58.4173,-1.3441,33.8025,-52.5262,19.8947,short,2,4,372.8935,0.3231,117103.06,118060.7
3,fold_2_oos,short,2025-07-25 14:15:00+00:00,2025-07-25 16:45:00+00:00,115542.2,116174.646,stop_loss,116116.5877,114308.5306,-63.8515,-1.3033,54.0923,-57.3743,19.7636,short,1,2,430.4898,0.3724,116295.84,117471.94
4,fold_2_oos,short,2025-08-01 15:15:00+00:00,2025-08-01 18:15:00+00:00,115076.413,113748.1931,take_profit,115711.047,113691.3474,103.2267,1.9137,119.6253,-52.6224,19.4495,short,3,6,480.8809,0.4177,115435.73,116671.75
