trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_11_oos,short,2026-01-22 16:15:00+00:00,2026-01-22 16:45:00+00:00,88799.3681,89293.7943,stop_loss,89249.1697,87830.3408,-65.7018,-1.2977,13.779,-52.973,20.0457,short,1,3,337.8164,0.3802,89694.24,90105.12
2,fold_11_oos,short,2026-01-25 19:30:00+00:00,2026-01-25 21:00:00+00:00,86438.9389,86944.0302,stop_loss,86900.5799,85436.1802,-67.9393,-1.2825,28.0105,-56.827,19.8966,short,1,3,348.6666,0.4032,88269.13,89008.92
3,fold_11_oos,long,2026-01-28 17:45:00+00:00,2026-01-28 18:45:00+00:00,89902.6088,89413.636,stop_loss,89458.3652,90855.9671,-63.3786,-1.302,76.4189,-64.6214,19.6492,long,2,5,332.7624,0.3703,89515.8,88900.47
4,fold_11_oos,short,2026-01-29 15:45:00+00:00,2026-01-29 15:45:00+00:00,84577.69,85164.6587,stop_loss,85122.0976,83364.7209,-77.6283,-1.2346,24.3845,-66.0991,19.6045,short,1,2,418.423,0.4945,87817.58,88522.77
5,fold_11_oos,short,2026-01-29 18:30:00+00:00,2026-01-29 21:45:00+00:00,83839.5493,84557.3514,stop_loss,84515.0939,82297.4453,-92.6487,-1.1877,52.6798,-100.0863,19.4448,short,1,2,528.0116,0.6295,86706.37,88126.22
6,fold_11_oos,short,2026-01-30 02:30:00+00:00,2026-01-30 02:45:00+00:00,81424.6373,82164.8441,stop_loss,82123.7822,79819.3044,-96.7428,-1.1763,31.8375,-87.6012,19.2445,short,1,3,548.6852,0.6735,84614.57,86976.45
7,fold_11_oos,short,2026-01-30 15:30:00+00:00,2026-01-30 15:30:00+00:00,82578.9599,83203.1412,stop_loss,83161.5605,81267.0788,-81.1423,-1.2142,22.5916,-89.7976,19.0165,short,1,2,451.0671,0.546,83041.12,85268.17
8,fold_11_oos,short,2026-01-31 18:15:00+00:00,2026-01-31 18:30:00+00:00,78583.6385,76743.1318,take_profit,79390.2322,76704.7794,210.5703,2.1867,341.8929,-17.4056,18.544,short,1,5,639.3935,0.8132,81846.91,83666.29
9,fold_11_oos,short,2026-02-01 12:15:00+00:00,2026-02-01 14:30:00+00:00,78530.5251,77694.8297,take_profit,78935.3193,77656.0017,92.4975,1.8726,157.8857,-29.0616,19.0639,short,2,6,304.5994,0.3877,78808.68,81039.83
10,fold_11_oos,short,2026-02-01 21:15:00+00:00,2026-02-01 22:00:00+00:00,76704.1188,77372.3616,stop_loss,77333.6947,75264.4432,-93.9582,-1.1843,43.3803,-135.5299,19.4159,short,1,3,492.6789,0.642,77890.84,80033.62
11,fold_11_oos,short,2026-02-02 02:15:00+00:00,2026-02-02 03:15:00+00:00,77157.402,75217.9811,take_profit,78002.2436,75180.3909,221.2096,2.2066,248.9444,-45.3998,18.0811,short,1,4,671.8697,0.8703,77576.99,79535.79
12,fold_11_oos,short,2026-02-03 02:45:00+00:00,2026-02-03 03:45:00+00:00,78353.8235,78804.5081,stop_loss,78765.1256,77462.7211,-66.0508,-1.2873,88.5352,-69.0281,19.6046,short,1,2,310.0963,0.3956,78501.72,78595.94
13,fold_11_oos,short,2026-02-03 10:45:00+00:00,2026-02-03 14:45:00+00:00,78126.3973,77202.9459,take_profit,78565.9265,77164.3637,105.0511,1.9254,120.4328,-41.2748,19.2822,short,3,6,333.7054,0.4269,78497.41,78569.29
14,fold_11_oos,short,2026-02-03 17:15:00+00:00,2026-02-03 18:15:00+00:00,75661.2305,74164.1556,take_profit,76327.8752,74127.092,184.1839,2.1344,240.9207,-57.1588,19.3936,short,1,4,523.996,0.6922,77931.35,78382.4
15,fold_11_oos,short,2026-02-04 14:45:00+00:00,2026-02-04 15:00:00+00:00,75174.394,74087.0739,take_profit,75676.7944,74050.0489,134.3532,2.0168,173.2591,-45.8573,19.7919,short,1,4,387.3204,0.515,76064.43,77014.53
16,fold_11_oos,short,2026-02-04 17:30:00+00:00,2026-02-04 18:15:00+00:00,72437.3232,73389.5323,stop_loss,73352.8559,70275.3203,-117.7745,-1.1202,30.8129,-132.5513,16.746,short,1,3,732.7466,1.0111,75286.19,76693.81
17,fold_11_oos,short,2026-02-04 23:00:00+00:00,2026-02-04 23:15:00+00:00,72507.1083,73411.9163,stop_loss,73375.2287,70463.7582,-117.2583,-1.1268,4.6735,-105.69,17.4912,short,1,3,693.2073,0.9556,74054.7,76006.15
18,fold_11_oos,short,2026-02-05 03:00:00+00:00,2026-02-05 12:15:00+00:00,71418.7128,69492.7572,take_profit,72253.0047,69458.0281,228.8796,2.2252,278.1023,-69.0249,17.3727,short,2,6,665.4706,0.9313,73413.69,75525.57
19,fold_11_oos,short,2026-02-05 22:00:00+00:00,2026-02-05 22:30:00+00:00,63181.7333,64444.5506,stop_loss,64412.3445,60215.8288,-111.4212,-1.0785,41.2045,-120.394,10.714,short,2,6,999.1704,1.5806,67259.25,71764.22
20,fold_11_oos,short,2026-02-07 13:45:00+00:00,2026-02-07 15:30:00+00:00,68867.7089,69584.3381,stop_loss,69549.5633,67283.6168,-113.5204,-1.1531,73.4879,-129.192,19.9909,short,1,4,539.5111,0.783,68995.46,69181.18
21,fold_11_oos,long,2026-02-08 13:30:00+00:00,2026-02-08 15:15:00+00:00,71490.6575,71004.0737,stop_loss,71039.5935,72492.3262,-76.67,-1.2362,8.8404,-96.8678,19.5935,long,1,2,345.8887,0.4841,70100.53,69508.3
