trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
73,train,short,2024-07-04 03:15:00+00:00,58912.539,58942.01,2024-07-04 08:30:00+00:00,58020.9743,take_profit,59322.0227,57991.9783,0.13635632,8.0331,7.9115,15.9446,121.5705,113.659,2.0356,228.2413,-33.1702,8037.1155,8142.7413,SHORT resume below prev_low=58968.0 | pullbacks=3 ATR%=0.54%
74,train,short,2024-07-04 14:30:00+00:00,56987.8518,57016.36,2024-07-04 14:30:00+00:00,57480.3402,stop_loss,57451.6144,55928.2239,0.14281412,8.1387,8.209,16.3477,-70.3343,-78.5433,-1.1859,9.1189,-67.5865,8142.7413,8056.0594,SHORT resume below prev_low=57139.5 | pullbacks=1 ATR%=0.64%
75,train,short,2024-07-05 04:00:00+00:00,55200.386,55227.99,2024-07-05 04:15:00+00:00,53901.3242,take_profit,55769.4312,53874.387,0.14586914,8.052,7.8625,15.9146,189.493,181.6305,2.1882,250.0862,-22.7605,8056.0594,8229.6378,SHORT resume below prev_low=55292.0 | pullbacks=1 ATR%=0.82%
76,train,long,2024-07-07 03:00:00+00:00,58389.17,58359.99,2024-07-07 03:00:00+00:00,58101.5455,stop_loss,58130.6108,58933.4379,0.14101507,8.2338,8.1932,16.4269,-40.5594,-48.7526,-1.3371,0.0,-68.3458,8229.6378,8172.6515,LONG resume above prev_high=58292.3 | pullbacks=1 ATR%=0.33%
77,train,short,2024-07-07 22:30:00+00:00,56504.5636,56532.83,2024-07-07 23:45:00+00:00,55877.7265,take_profit,56806.0414,55849.8016,0.1445647,8.1686,8.0779,16.2465,90.6185,82.5406,1.8939,112.7885,-20.6766,8172.6515,8247.0235,SHORT resume below prev_low=56564.8 | pullbacks=3 ATR%=0.40%
78,train,short,2024-07-08 09:45:00+00:00,57468.2215,57496.98,2024-07-08 14:15:00+00:00,56314.5939,take_profit,57981.1917,56286.4507,0.14343403,8.2429,8.0774,16.3203,165.4695,157.392,2.1391,265.9542,-36.105,8247.0235,8396.1726,SHORT resume below prev_low=57546.5 | pullbacks=1 ATR%=0.70%
79,train,long,2024-07-09 09:45:00+00:00,57702.877,57674.04,2024-07-09 10:15:00+00:00,57359.1719,stop_loss,57387.8659,58389.4754,0.14557976,8.4004,8.3503,16.7507,-50.0365,-58.3868,-1.2732,0.0,-48.9551,8396.1726,8329.3854,LONG resume above prev_high=57635.9 | pullbacks=2 ATR%=0.41%
80,train,long,2024-07-10 05:00:00+00:00,59377.1037,59347.44,2024-07-10 05:30:00+00:00,58965.3629,stop_loss,58994.8603,60228.8892,0.14034953,8.3335,8.2758,16.6093,-57.7876,-66.0634,-1.2314,13.038,-78.1275,8329.3854,8254.9885,LONG resume above prev_high=59310.0 | pullbacks=1 ATR%=0.50%
81,train,long,2024-07-11 12:45:00+00:00,58951.471,58922.01,2024-07-11 13:00:00+00:00,58575.2537,stop_loss,58604.5559,59715.6452,0.14010025,8.2591,8.2064,16.4655,-52.7081,-60.9146,-1.2533,36.5002,-73.6186,8254.9885,8185.8148,LONG resume above prev_high=58849.0 | pullbacks=1 ATR%=0.45%
82,train,short,2024-07-12 00:15:00+00:00,57255.358,57284.0,2024-07-12 00:30:00+00:00,57562.8774,stop_loss,57534.1103,56658.7241,0.1428988,8.1817,8.2257,16.4074,-43.9442,-52.1698,-1.3097,3.9094,-45.2278,8185.8148,8125.4633,SHORT resume below prev_low=57300.0 | pullbacks=2 ATR%=0.36%
83,train,long,2024-07-14 00:15:00+00:00,59465.738,59436.02,2024-07-14 05:00:00+00:00,60122.9741,take_profit,59149.2077,60153.0507,0.13670941,8.1295,8.2194,16.3489,89.8504,81.631,1.8864,113.5046,-25.3935,8125.4633,8198.9647,LONG resume above prev_high=59296.0 | pullbacks=3 ATR%=0.40%
84,train,long,2024-07-14 16:00:00+00:00,60114.042,60084.0,2024-07-14 21:15:00+00:00,60599.2994,take_profit,59865.7543,60629.6142,0.13645837,8.2031,8.2693,16.4723,66.2174,57.9481,1.7103,119.9412,-31.937,8198.9647,8248.7098,LONG resume above prev_high=60062.8 | pullbacks=2 ATR%=0.30%
85,train,long,2024-07-15 04:00:00+00:00,62679.1939,62647.87,2024-07-15 16:45:00+00:00,63524.0304,take_profit,62284.6947,63555.8083,0.13166784,8.2528,8.3641,16.6169,111.2378,102.8737,1.9805,122.157,-51.2443,8248.7098,8343.3307,LONG resume above prev_high=62535.9 | pullbacks=2 ATR%=0.48%
86,train,long,2024-07-15 20:30:00+00:00,63635.812,63604.01,2024-07-15 22:30:00+00:00,64483.3173,take_profit,63239.384,64515.5751,0.13117617,8.3475,8.4587,16.8062,111.1725,102.7138,1.9752,150.3683,-18.378,8343.3307,8437.697,LONG resume above prev_high=63393.8 | pullbacks=2 ATR%=0.48%
87,train,long,2024-07-16 08:15:00+00:00,63010.4695,62978.98,2024-07-16 08:15:00+00:00,62568.1723,stop_loss,62599.472,63927.7499,0.1339764,8.4419,8.3827,16.8246,-59.2574,-67.64,-1.2284,0.4435,-60.2156,8437.697,8361.6151,LONG resume above prev_high=62976.0 | pullbacks=3 ATR%=0.50%
88,train,long,2024-07-16 13:45:00+00:00,63919.954,63888.01,2024-07-16 13:45:00+00:00,63473.4061,stop_loss,63505.1587,64845.1383,0.13087925,8.3658,8.3074,16.6731,-58.4439,-66.7512,-1.2296,0.0,-68.0499,8361.6151,8286.4981,LONG resume above prev_high=63840.9 | pullbacks=3 ATR%=0.50%
89,train,long,2024-07-17 00:15:00+00:00,65290.1488,65257.52,2024-07-17 08:15:00+00:00,64869.2194,stop_loss,64901.6702,66147.1444,0.1269815,8.2906,8.2372,16.5278,-53.4502,-61.6874,-1.2505,106.4716,-61.2887,8286.4981,8216.52,LONG resume above prev_high=65190.4 | pullbacks=2 ATR%=0.45%
90,train,long,2024-07-17 14:45:00+00:00,65182.4649,65149.89,2024-07-17 15:45:00+00:00,64752.8809,stop_loss,64785.2736,66061.4311,0.12611717,8.2206,8.1665,16.3871,-54.1779,-62.3444,-1.2446,27.4349,-69.9276,8216.52,8145.955,LONG resume above prev_high=64960.0 | pullbacks=1 ATR%=0.47%
